SIO2(WT%),MGO(WT%)
62.6,1.62
74.2,0.25
63.6,1.34
69.6,0.78
74.9,0.22
78.2,0.12
72.8,0.47
74.1,0.35
75.3,0.29
76.5,0.18
70.7,0.65
73.7,0.37
72.9,0.34
72.6,0.38
73.8,0.19
73.5,0.2
77,0.1
74.6,0.29
73,0.44
72.4,0.37
73.22,0.27
76.92,0.02
73.02,0.37
78.2,
63.6,2.02
75.8,
75.9,
70.1,0.71
76.6,
70.8,0.84
77.4,
77.7,
76.3,
71.67,0.37
67.22,0.95
74.9,0.31
74,0.32
64.6,1.31
69.1,1
67,1.2
74,0.57
69.8,1.57
75.7,0.31
74.7,0.4
66.4,1.45
70.2,0.9
70.1,1.14
72,0.75
65.9,1.29
68.9,0.59
71.8,0.53
74.4,0.27
69.4,0.9
66.9,1.43
64.6,1.93
69,1.31
64.2,1.45
68.39,1.03
66.98,1.15
69.48,1.16
67.18,1.28
70,0.72
70.4,0.64
69.11,0.94
67.2,1.4
65.86,1.46
70.26,0.55
73.03,0.39
71.47,0.56
73.19,0.32
72.89,0.41
74.61,0.61
66.49,1.23
64,1.5
71.54,0.17
65.56,1.77
63.3,1.65
67.52,0.94
64.84,1.26
62.83,1.87
71.08,0.53
69.92,1.22
67.07,1.3
68.15,0.98
68.49,1.13
68.7,0.95
76.07,0.28
71.27,1.37
71.5,0.59
72,0.31
69.7,0.93
66,1.92
71.9,0.37
68.8,0.94
70.6,0.62
72.6,0.41
,
,
,
76.5,0.04
78.2,0.03
74.02,0.469
74.83,0.588
75.72,0.397
76.24,0.351
70.46,0.87
73.94,0.24
73.99,0.3
69.8,0.41
72.39,0.26
72.76,0.34
67.8,0.52
67.42,0.18
74.31,0.2
77.98,0.05
75.94,0.13
77.99,0.07
78,0.06
77.05,0.07
73.86,0.36
75.96,0.01
73.63,0.01
71.2870063084429,0.16605809073729
71.0253088291197,0.171938451460774
64.3740192088758,0.38528799997932
64.8960535431451,0.283404937371838
68.7810079217899,0.247358722131663
68.458362789022,0.207985378945232
70.856849584752,0.277488934781659
75.236,0.222
73.454,0.284
74.294,0.251
77.746,0.247
75.414,0.522
71.64,0.08
76,0.11
74.46,0.03
74.07,0.09
72.12,0.52
66.7,1.6
60,2.74
62.81,2.35
62.18,2
72.15,0.03
67.63,0.07
57.3,3.14
66.1,1.53
65.7,1.69
62.4,2.19
75.3,0.04
75,0.06
,
,
,
,
,
72.06,0.62
72.39,0.46
72.45,0.5
75.96,0.35
71.83,0.67
71.94,0.5
69.32,0.41
69.72,0.8
70.95,0.83
71.57,0.46
71.42,0.48
72.13,0.34
68.8,1.54
69.91,0.66
68.66,0.82
69.76,0.6
73.36,0.36
74,0.31
73.94,0.34
74.2,0.41
72.93,0.35
71.19,1.05
72.75,0.64
73.48,0.44
71.11,0.37
74.73,0.26
73.79,0.64
73.2,0.61
73.36,0.81
73.75,0.89
75.67,0.06
73.26,0.12
73.49,0.21
76.35,0.21
75.46,0.11
74.7640191790811,3.62564683224982E-02
74.23,0.03
,
72.18,0.38
73,0.41
72.47,0.4
74.36,0.33
73.47,0.19
74.4,0.31
71.66,0.32
74.55,0.23
72.59,0.3
70.58,0.5
74.66,0.19
71.99,0.44
71.64,0.38
72.96,0.26
73.91,0.26
74.54,0.28
71.06,0.7
73.37,0.27
72.33,0.18
69.65,0.64
72.03,0.33
70.87,0.55
74.1,0.39
75.89,0.09
76.21,0.06
75.4,0.11
75.38,0.06
,
,
,
72.48,0.49
68.06,0.6
90.94,0.28
70.92,0.26
70.86,0.39
73.48,0.37
73.23,0.24
70.06,0.41
73.12,0.32
72.44,0.16
74.34,0.2
70.6,0.32
70.99,0.28
69.54,0.68
72.24,0.35
75.6743198325723,0.200514890918316
70.1592134718161,1.0982474538671
61.7532637014009,2.04944456188881
67.81,1.2
73.47,0.45
68.37,0.69
75.77,0.26
74.65,0.07
76.45,0.22
75.24,0.13
76.21,0.1
67.7,0.41
69.51,0.4
67.37,0.25
68.02,0.65
69.2,0.39
75.12,0.19
74.88,0.21
74.51,0.23
73.12,0.27
73.44,0.26
73.66,0.22
73.13,0.24
73.46,0.25
73.76,0.19
72.97,0.32
72.92,0.28
73.29,0.24
74.21,0.22
74.08,0.23
73.95,0.22
77.15,0.08
77.56,0.22
77.9,0.06
77.36,0.05
78.24,0.05
76.68,0.19
70.01,0.43
72.05,0.83
72.76,0.49
74.41,0.58
,
73.83,0.32
73.5,0.54
70.03,1.06
73.14,0.52
73.99,0.38
68.6038545329366,0.862385040592806
69.5279210701289,0.949222894187286
60.9468414416777,2.79402819361283
68.6505570337867,0.744067436679828
64.2923098815702,2.76136225037861
66.578925463717,1.78527510620733
60.5092181073539,3.14056484357299
66.82,1.7
66.82,1.66
66.21,1.94
67.17,1.65
66.59,1.74
77.34,0.02
77.04,0.02
76.27,0.09
75.98,0.08
77.17,0.07
76.37,0.08
76.45,0.07
77.36,0.08
76.88,0.08
77.2175109433217,4.55705616560518E-02
76.7435889850105,0.047724382270161
76.4642371804586,0.025546294391187
76.3939243750339,0.077836113702
78.05,0.03
76.7,0.03
77.24,0.02
77.94,0.02
76.98,0.03
77.11,0.02
77.76,0.11
74.43,0.13
74.7,0.15
76.33,0.15
75.89,0.12
74.78,0.12
76.07,0.11
,
,
76.83,0.21
76.73,0.2
77.19,0.25
77.08,0.32
77.3,0.09
74.24,0.155
74.82,0.191
74.57,0.158
74.036,0.19
72.54,0.406
72.779,0.269
74.73,0.108
73.889,0.168
74.76,0.108
71.65,0.25
70.6,0.33
72.27,0.28
69.59,0.38
71.5,0.32
72.09,0.18
72.33,0.11
68.72,0.34
71.79,0.073
70.59,0.39
73.54,0.41
73.61,0.42
72.34,0.53
72.49,0.48
73.81,0.29
77.3,0.01
75.21,0.02
73.28,0.02
74.27,0.03
76.36,0.02
69.19,0.07
71.68,0.05
70.63,0.06
72.17,0.04
75.45,0.01
75.72,0.01
75.36,0.01
74.16,0.01
75.29,0.01
68.8,0.7
67,1.1
66.04,0.91
71,1.6
68.41,0.8
65.3,1.4
71.1,0.48
65.98,1.08
73.72,0.24
69.07,0.8
63.53,1.36
76.84,0.15
70.6,0.97
71.38,1.47
73.2,0.52
71.16,0.27
71.38,0.27
73.18,0.31
62.86,1.31
63.52,1.83
65.48,1.35
66.12,1.4
65.86,1.42
66.06,1.6
66.21,1.24
66.58,1.4
65.44,1.65
