,station,network,channel,location,rate,start_time,end_time,latitude,longitude,elevation,depth,dip,azimuth
16,AFD,NC,EHZ,--,100.0,"1984/01/01,00:00:00","1984/04/23,21:00:00",38.94596,-120.96897,505.0,0.0,-90.0,0.0
17,AFD,NC,EHZ,--,100.0,"1984/04/23,21:00:00","1986/03/20,17:30:00",38.94596,-120.96897,505.0,0.0,-90.0,0.0
18,AFD,NC,EHZ,--,100.0,"1986/03/20,17:30:00","1986/12/13,22:20:00",38.94596,-120.96897,505.0,0.0,-90.0,0.0
19,AFD,NC,EHZ,--,100.0,"1986/12/13,22:20:00","1987/05/01,00:00:00",38.94596,-120.96897,505.0,0.0,-90.0,0.0
20,AFD,NC,EHZ,--,100.0,"1987/05/01,00:00:00","2007/05/22,20:40:00",38.94596,-120.96897,505.0,0.0,-90.0,0.0
21,AFD,NC,HHE,--,100.0,"2008/06/05,16:29:00","2010/08/11,19:30:00",38.94596,-120.96897,505.0,0.0,0.0,0.0
22,AFD,NC,HHE,--,100.0,"2010/08/11,19:30:00","2019/04/09,21:00:00",38.94596,-120.96897,505.0,0.0,0.0,90.0
23,AFD,NC,HHE,--,100.0,"2019/04/09,21:00:00","2019/12/30,19:29:00",38.94596,-120.96897,505.0,0.0,0.0,90.0
24,AFD,NC,HHE,--,100.0,"2019/12/30,19:29:00","2021/03/25,20:35:00",38.94596,-120.96897,505.0,0.0,0.0,0.0
25,AFD,NC,HHE,--,100.0,"2021/03/25,20:35:00","3000/01/01,00:00:00",38.94596,-120.96897,505.0,0.0,0.0,90.0
26,AFD,NC,HHN,--,100.0,"2008/06/05,16:29:00","2010/08/11,19:30:00",38.94596,-120.96897,505.0,0.0,0.0,270.0
27,AFD,NC,HHN,--,100.0,"2010/08/11,19:30:00","2019/04/09,21:00:00",38.94596,-120.96897,505.0,0.0,0.0,0.0
28,AFD,NC,HHN,--,100.0,"2019/04/09,21:00:00","2019/12/30,19:29:00",38.94596,-120.96897,505.0,0.0,0.0,0.0
29,AFD,NC,HHN,--,100.0,"2019/12/30,19:29:00","2021/03/25,20:35:00",38.94596,-120.96897,505.0,0.0,0.0,270.0
30,AFD,NC,HHN,--,100.0,"2021/03/25,20:35:00","3000/01/01,00:00:00",38.94596,-120.96897,505.0,0.0,0.0,0.0
31,AFD,NC,HHZ,--,100.0,"2008/06/05,16:29:00","2019/04/09,21:00:00",38.94596,-120.96897,505.0,0.0,-90.0,0.0
32,AFD,NC,HHZ,--,100.0,"2019/04/09,21:00:00","2019/12/30,19:29:00",38.94596,-120.96897,505.0,0.0,-90.0,0.0
33,AFD,NC,HHZ,--,100.0,"2019/12/30,19:29:00","3000/01/01,00:00:00",38.94596,-120.96897,505.0,0.0,-90.0,0.0
34,AFD,NC,HNE,--,100.0,"2008/06/05,16:29:00","2019/04/09,21:00:00",38.94596,-120.96897,505.0,0.0,0.0,90.0
35,AFD,NC,HNE,--,100.0,"2019/04/09,21:00:00","3000/01/01,00:00:00",38.94596,-120.96897,505.0,0.0,0.0,90.0
36,AFD,NC,HNN,--,100.0,"2008/06/05,16:29:00","2019/04/09,21:00:00",38.94596,-120.96897,505.0,0.0,0.0,0.0
37,AFD,NC,HNN,--,100.0,"2019/04/09,21:00:00","3000/01/01,00:00:00",38.94596,-120.96897,505.0,0.0,0.0,0.0
38,AFD,NC,HNZ,--,100.0,"2008/06/05,16:29:00","2019/04/09,21:00:00",38.94596,-120.96897,505.0,0.0,-90.0,0.0
39,AFD,NC,HNZ,--,100.0,"2019/04/09,21:00:00","3000/01/01,00:00:00",38.94596,-120.96897,505.0,0.0,-90.0,0.0
40,AFD,NC,LHE,--,1.0,"2019/04/09,21:00:00","2019/12/30,19:29:00",38.94596,-120.96897,505.0,0.0,0.0,90.0
41,AFD,NC,LHE,--,1.0,"2019/12/30,19:29:00","2021/03/25,20:35:00",38.94596,-120.96897,505.0,0.0,0.0,0.0
42,AFD,NC,LHE,--,1.0,"2021/03/25,20:35:00","3000/01/01,00:00:00",38.94596,-120.96897,505.0,0.0,0.0,90.0
43,AFD,NC,LHN,--,1.0,"2019/04/09,21:00:00","2019/12/30,19:29:00",38.94596,-120.96897,505.0,0.0,0.0,0.0
44,AFD,NC,LHN,--,1.0,"2019/12/30,19:29:00","2021/03/25,20:35:00",38.94596,-120.96897,505.0,0.0,0.0,270.0
45,AFD,NC,LHN,--,1.0,"2021/03/25,20:35:00","3000/01/01,00:00:00",38.94596,-120.96897,505.0,0.0,0.0,0.0
46,AFD,NC,LHZ,--,1.0,"2019/04/09,21:00:00","2019/12/30,19:29:00",38.94596,-120.96897,505.0,0.0,-90.0,0.0
47,AFD,NC,LHZ,--,1.0,"2019/12/30,19:29:00","3000/01/01,00:00:00",38.94596,-120.96897,505.0,0.0,-90.0,0.0
48,AFD,NC,SHZ,--,20.0,"1994/11/28,00:00:00","2006/01/24,18:00:00",38.94596,-120.96897,505.0,0.0,-90.0,0.0
49,AFH,NC,EHZ,--,100.0,"1984/01/01,00:00:00","1987/05/01,00:00:00",39.03995,-120.79501,1039.0,0.0,-90.0,0.0
50,AFH,NC,EHZ,--,100.0,"1987/05/01,00:00:00","2006/01/04,19:27:00",39.03995,-120.79501,1039.0,0.0,-90.0,0.0
51,AFH,NC,SHZ,--,20.0,"1994/11/28,00:00:00","2006/01/04,19:27:00",39.03995,-120.79501,1039.0,0.0,-90.0,0.0
52,AFL,NC,ACE,01,1.0,"2021/03/25,00:00:00","3000/01/01,00:00:00",38.76087,-121.10538,218.0,0.0,0.0,0.0
53,AFL,NC,EHZ,01,100.0,"2021/03/25,00:00:00","3000/01/01,00:00:00",38.76087,-121.10538,218.0,0.0,-90.0,0.0
54,AFL,NC,GAN,01,1.0,"2021/03/25,00:00:00","3000/01/01,00:00:00",38.76087,-121.10538,218.0,0.0,0.0,0.0
55,AFL,NC,GEL,01,1.0,"2021/03/25,00:00:00","3000/01/01,00:00:00",38.76087,-121.10538,218.0,0.0,0.0,0.0
56,AFL,NC,GLA,01,1.0,"2021/03/25,00:00:00","3000/01/01,00:00:00",38.76087,-121.10538,218.0,0.0,0.0,0.0
57,AFL,NC,GLO,01,1.0,"2021/03/25,00:00:00","3000/01/01,00:00:00",38.76087,-121.10538,218.0,0.0,0.0,0.0
58,AFL,NC,GNS,01,1.0,"2021/03/25,00:00:00","3000/01/01,00:00:00",38.76087,-121.10538,218.0,0.0,0.0,0.0
59,AFL,NC,GPL,01,1.0,"2021/03/25,00:00:00","3000/01/01,00:00:00",38.76087,-121.10538,218.0,0.0,0.0,0.0
60,AFL,NC,HNE,01,100.0,"2021/03/25,00:00:00","3000/01/01,00:00:00",38.76087,-121.10538,218.0,0.0,0.0,90.0
61,AFL,NC,HNE,20,200.0,"2021/03/25,00:00:00","3000/01/01,00:00:00",38.76087,-121.10538,218.0,0.0,0.0,90.0
62,AFL,NC,HNN,01,100.0,"2021/03/25,00:00:00","3000/01/01,00:00:00",38.76087,-121.10538,218.0,0.0,0.0,0.0
63,AFL,NC,HNN,20,200.0,"2021/03/25,00:00:00","3000/01/01,00:00:00",38.76087,-121.10538,218.0,0.0,0.0,0.0
64,AFL,NC,HNZ,01,100.0,"2021/03/25,00:00:00","3000/01/01,00:00:00",38.76087,-121.10538,218.0,0.0,-90.0,0.0
65,AFL,NC,HNZ,20,200.0,"2021/03/25,00:00:00","3000/01/01,00:00:00",38.76087,-121.10538,218.0,0.0,-90.0,0.0
66,AFL,NC,LCE,01,1.0,"2021/03/25,00:00:00","3000/01/01,00:00:00",38.76087,-121.10538,218.0,0.0,0.0,0.0
67,AFL,NC,LCQ,01,1.0,"2021/03/25,00:00:00","3000/01/01,00:00:00",38.76087,-121.10538,218.0,0.0,0.0,0.0
68,AFL,NC,VCO,01,1.0,"2021/03/25,00:00:00","3000/01/01,00:00:00",38.76087,-121.10538,218.0,0.0,0.0,0.0
69,AFL,NC,VDT,01,1.0,"2021/03/25,00:00:00","3000/01/01,00:00:00",38.76087,-121.10538,218.0,0.0,0.0,0.0
70,AFL,NC,VEC,01,1.0,"2021/03/25,00:00:00","3000/01/01,00:00:00",38.76087,-121.10538,218.0,0.0,0.0,0.0
71,AFL,NC,VEI,01,1.0,"2021/03/25,00:00:00","3000/01/01,00:00:00",38.76087,-121.10538,218.0,0.0,0.0,0.0
72,AFL,NC,VPB,01,1.0,"2021/03/25,00:00:00","3000/01/01,00:00:00",38.76087,-121.10538,218.0,0.0,0.0,0.0
73,AFO,NC,EHZ,--,100.0,"1984/01/01,00:00:00","1984/04/23,00:00:00",38.94483,-120.96833,524.0,0.0,-90.0,0.0
74,AFR,NC,EHZ,--,100.0,"1984/01/01,00:00:00","1987/05/01,00:00:00",38.79221,-121.34927,10.0,0.0,-90.0,0.0
75,AFR,NC,EHZ,--,100.0,"1987/05/01,00:00:00","1988/05/19,21:30:00",38.79221,-121.34927,10.0,0.0,-90.0,0.0
76,AFR,NC,EHZ,--,100.0,"1988/05/19,21:30:00","1988/06/09,22:42:00",38.79221,-121.34927,10.0,0.0,-90.0,0.0
77,AFR,NC,EHZ,--,100.0,"1988/06/09,22:42:00","1996/05/14,19:00:00",38.79221,-121.34927,10.0,0.0,-90.0,0.0
78,AFR,NC,SHZ,--,20.0,"1994/11/28,00:00:00","1996/05/14,19:00:00",38.79221,-121.34927,10.0,0.0,-90.0,0.0
79,AGI,NC,EHZ,--,100.0,"1984/01/01,00:00:00","1985/12/06,23:59:00",38.84467,-120.98133,305.0,0.0,-90.0,0.0
80,AHR,NC,EHZ,--,100.0,"1984/01/01,00:00:00","1985/05/16,19:50:00",38.85484,-121.07204,349.0,0.0,-90.0,0.0
81,AHR,NC,EHZ,--,100.0,"1985/05/16,19:50:00","1987/05/01,00:00:00",38.85484,-121.07204,349.0,0.0,-90.0,0.0
82,AHR,NC,EHZ,--,100.0,"1987/05/01,00:00:00","2004/08/04,20:00:00",38.85484,-121.07204,349.0,0.0,-90.0,0.0
83,AHR,NC,EHZ,--,100.0,"2004/08/04,20:00:00","2005/05/04,16:33:00",38.85484,-121.07204,349.0,0.0,-90.0,0.0
84,AHR,NC,SHZ,--,20.0,"1994/11/28,00:00:00","2004/08/04,20:00:00",38.85484,-121.07204,349.0,0.0,-90.0,0.0
85,AHR,NC,SHZ,--,20.0,"2004/08/04,20:00:00","2005/05/04,16:33:00",38.85484,-121.07204,349.0,0.0,-90.0,0.0
86,ALA,NC,EHZ,--,100.0,"1984/01/01,00:00:00","1986/10/14,22:20:00",38.5671,-120.95693,263.0,0.0,-90.0,0.0
87,ALA,NC,EHZ,--,100.0,"1986/10/14,22:20:00","1987/05/01,00:00:00",38.5671,-120.95693,263.0,0.0,-90.0,0.0
88,ALA,NC,EHZ,--,100.0,"1987/05/01,00:00:00","2006/04/20,17:20:00",38.5671,-120.95693,263.0,0.0,-90.0,0.0
89,ALA,NC,SHZ,--,20.0,"1994/11/28,00:00:00","2006/04/20,17:20:00",38.5671,-120.95693,263.0,0.0,-90.0,0.0
90,ALN,NC,EHZ,--,100.0,"1984/01/01,00:00:00","1987/05/01,00:00:00",38.92913,-121.28704,27.0,0.0,-90.0,0.0
91,ALN,NC,EHZ,--,100.0,"1987/05/01,00:00:00","2005/05/25,21:10:00",38.92913,-121.28704,27.0,0.0,-90.0,0.0
92,ALN,NC,SHZ,--,20.0,"1994/11/28,00:00:00","2005/05/25,21:10:00",38.92913,-121.28704,27.0,0.0,-90.0,0.0
93,AOD,NC,EHZ,--,100.0,"1984/01/01,00:00:00","1987/05/01,00:00:00",38.61472,-120.73023,504.0,0.0,-90.0,0.0
94,AOD,NC,EHZ,--,100.0,"1987/05/01,00:00:00","2006/04/20,18:00:00",38.61472,-120.73023,504.0,0.0,-90.0,0.0
95,AOD,NC,SHZ,--,20.0,"1994/11/28,00:00:00","2006/04/20,18:00:00",38.61472,-120.73023,504.0,0.0,-90.0,0.0
96,AOH,NC,EHZ,--,100.0,"1984/01/01,00:00:00","1984/02/22,20:25:00",39.37627,-121.25767,410.0,0.0,-90.0,0.0
97,AOH,NC,EHZ,--,100.0,"1984/02/22,20:25:00","1984/03/21,22:10:00",39.37627,-121.25767,410.0,0.0,-90.0,0.0
98,AOH,NC,EHZ,--,100.0,"1984/03/21,22:10:00","1985/07/15,18:00:00",39.37627,-121.25767,410.0,0.0,-90.0,0.0
99,AOH,NC,EHZ,--,100.0,"1985/07/15,18:00:00","1986/07/18,18:00:00",39.37627,-121.25767,410.0,0.0,-90.0,0.0
100,AOH,NC,EHZ,--,100.0,"1986/07/18,18:00:00","1987/05/01,00:00:00",39.37627,-121.25767,410.0,0.0,-90.0,0.0
101,AOH,NC,EHZ,--,100.0,"1987/05/01,00:00:00","2019/06/20,18:43:00",39.37627,-121.25767,410.0,0.0,-90.0,0.0
102,AOH,NC,SHZ,--,20.0,"1994/11/28,00:00:00","2006/01/24,18:00:00",39.37627,-121.25767,410.0,0.0,-90.0,0.0
103,APG,NC,EHZ,--,100.0,"1996/07/10,17:40:00","2004/08/05,19:00:00",38.79265,-121.35859,2.0,0.0,-90.0,0.0
104,APG,NC,SHZ,--,20.0,"1996/07/10,17:40:00","2004/08/05,19:00:00",38.79265,-121.35859,2.0,0.0,-90.0,0.0
105,APR,NC,EHZ,--,100.0,"1984/01/01,00:00:00","1985/04/03,19:35:00",38.87703,-121.21823,113.0,0.0,-90.0,0.0
106,APR,NC,EHZ,--,100.0,"1985/04/03,19:35:00","1987/05/01,00:00:00",38.87703,-121.21823,113.0,0.0,-90.0,0.0
107,APR,NC,EHZ,--,100.0,"1987/05/01,00:00:00","2006/01/04,19:19:00",38.87703,-121.21823,113.0,0.0,-90.0,0.0
108,APR,NC,SHZ,--,20.0,"1994/11/28,00:00:00","2006/01/04,19:19:00",38.87703,-121.21823,113.0,0.0,-90.0,0.0
109,ARJ,NC,EHZ,--,100.0,"1984/01/01,00:00:00","1987/05/01,00:00:00",38.68626,-120.9576,437.0,0.0,-90.0,0.0
110,ARJ,NC,EHZ,--,100.0,"1987/05/01,00:00:00","2006/04/20,22:15:00",38.68626,-120.9576,437.0,0.0,-90.0,0.0
111,ARJ,NC,SHZ,--,20.0,"1994/11/28,00:00:00","2006/04/20,22:15:00",38.68626,-120.9576,437.0,0.0,-90.0,0.0
112,ARR,NC,EHZ,--,100.0,"1984/01/01,00:00:00","1984/10/01,17:45:00",38.76499,-121.17245,100.0,0.0,-90.0,0.0
113,ARR,NC,EHZ,--,100.0,"1984/10/01,17:45:00","1987/05/01,00:00:00",38.76499,-121.17245,100.0,0.0,-90.0,0.0
114,ARR,NC,EHZ,--,100.0,"1987/05/01,00:00:00","1988/06/02,21:40:00",38.76499,-121.17245,100.0,0.0,-90.0,0.0
115,ARR,NC,EHZ,--,100.0,"1988/06/02,21:40:00","2007/05/22,20:40:00",38.76499,-121.17245,100.0,0.0,-90.0,0.0
116,ARR,NC,SHZ,--,20.0,"1994/11/28,00:00:00","2006/01/24,18:00:00",38.76499,-121.17245,100.0,0.0,-90.0,0.0
117,ARW,NC,EHZ,--,100.0,"1984/01/01,00:00:00","1984/12/06,19:20:00",38.95633,-121.16217,320.0,0.0,-90.0,0.0
118,ASM,NC,EHZ,--,100.0,"1984/12/03,19:20:00","1985/01/08,22:15:00",38.82379,-120.685,1160.0,0.0,-90.0,0.0
119,ASM,NC,EHZ,--,100.0,"1985/01/08,22:15:00","1987/05/01,00:00:00",38.82379,-120.685,1160.0,0.0,-90.0,0.0
120,ASM,NC,EHZ,--,100.0,"1987/05/01,00:00:00","2003/01/30,18:15:00",38.82379,-120.685,1160.0,0.0,-90.0,0.0
121,ASM,NC,SHZ,--,20.0,"1994/11/28,00:00:00","2003/01/30,18:15:00",38.82379,-120.685,1160.0,0.0,-90.0,0.0
122,ASMB,NC,EHZ,--,100.0,"2010/06/22,23:49:00","3000/01/01,00:00:00",38.82365,-120.68499,1182.0,0.0,-90.0,0.0
123,AVR,NC,EHZ,--,100.0,"1984/01/01,00:00:00","1987/05/01,00:00:00",39.02431,-121.27188,95.0,0.0,-90.0,0.0
124,AVR,NC,EHZ,--,100.0,"1987/05/01,00:00:00","2007/05/22,20:40:00",39.02431,-121.27188,95.0,0.0,-90.0,0.0
125,AVR,NC,SHZ,--,20.0,"1994/11/28,00:00:00","2006/01/24,18:00:00",39.02431,-121.27188,95.0,0.0,-90.0,0.0
126,BAP,NC,EHZ,--,100.0,"1985/06/27,17:27:00","1987/05/01,00:00:00",36.18042,-121.6444,1193.0,0.0,-90.0,0.0
127,BAP,NC,EHZ,--,100.0,"1987/05/01,00:00:00","1991/12/17,20:00:00",36.18042,-121.6444,1193.0,0.0,-90.0,0.0
128,BAP,NC,EHZ,--,100.0,"1991/12/17,20:00:00","1994/03/01,23:00:00",36.18042,-121.6444,1193.0,0.0,-90.0,0.0
129,BAP,NC,EHZ,--,100.0,"1994/03/01,23:00:00","2004/01/23,01:00:00",36.18042,-121.6444,1193.0,0.0,-90.0,0.0
130,BAP,NC,EHZ,--,100.0,"2011/07/08,17:04:00","2021/08/30,22:02:00",36.18042,-121.6444,1193.0,0.0,-90.0,0.0
131,BAP,NC,SHZ,--,20.0,"1994/11/28,00:00:00","2004/01/22,22:00:00",36.18042,-121.6444,1193.0,0.0,-90.0,0.0
132,BAP,NC,SHZ,--,50.0,"2004/01/22,22:00:00","2011/07/08,17:04:00",36.18042,-121.6444,1193.0,0.0,-90.0,0.0
133,BAPB,NC,ACE,01,1.0,"2022/09/27,00:00:00","3000/01/01,00:00:00",36.18086,-121.64144,1229.0,0.0,0.0,0.0
134,BAPB,NC,EHZ,01,100.0,"2022/09/27,00:00:00","3000/01/01,00:00:00",36.18086,-121.64144,1229.0,0.0,-90.0,0.0
135,BAPB,NC,GAN,01,1.0,"2022/09/27,00:00:00","3000/01/01,00:00:00",36.18086,-121.64144,1229.0,0.0,0.0,0.0
136,BAPB,NC,GEL,01,1.0,"2022/09/27,00:00:00","3000/01/01,00:00:00",36.18086,-121.64144,1229.0,0.0,0.0,0.0
137,BAPB,NC,GLA,01,1.0,"2022/09/27,00:00:00","3000/01/01,00:00:00",36.18086,-121.64144,1229.0,0.0,0.0,0.0
138,BAPB,NC,GLO,01,1.0,"2022/09/27,00:00:00","3000/01/01,00:00:00",36.18086,-121.64144,1229.0,0.0,0.0,0.0
139,BAPB,NC,GNS,01,1.0,"2022/09/27,00:00:00","3000/01/01,00:00:00",36.18086,-121.64144,1229.0,0.0,0.0,0.0
140,BAPB,NC,GPL,01,1.0,"2022/09/27,00:00:00","3000/01/01,00:00:00",36.18086,-121.64144,1229.0,0.0,0.0,0.0
141,BAPB,NC,HNE,01,100.0,"2022/09/27,00:00:00","3000/01/01,00:00:00",36.18086,-121.64144,1229.0,0.0,0.0,90.0
142,BAPB,NC,HNE,20,200.0,"2022/09/27,00:00:00","3000/01/01,00:00:00",36.18086,-121.64144,1229.0,0.0,0.0,90.0
143,BAPB,NC,HNN,01,100.0,"2022/09/27,00:00:00","3000/01/01,00:00:00",36.18086,-121.64144,1229.0,0.0,0.0,0.0
144,BAPB,NC,HNN,20,200.0,"2022/09/27,00:00:00","3000/01/01,00:00:00",36.18086,-121.64144,1229.0,0.0,0.0,0.0
145,BAPB,NC,HNZ,01,100.0,"2022/09/27,00:00:00","3000/01/01,00:00:00",36.18086,-121.64144,1229.0,0.0,-90.0,0.0
146,BAPB,NC,HNZ,20,200.0,"2022/09/27,00:00:00","3000/01/01,00:00:00",36.18086,-121.64144,1229.0,0.0,-90.0,0.0
147,BAPB,NC,LCE,01,1.0,"2022/09/27,00:00:00","3000/01/01,00:00:00",36.18086,-121.64144,1229.0,0.0,0.0,0.0
148,BAPB,NC,LCQ,01,1.0,"2022/09/27,00:00:00","3000/01/01,00:00:00",36.18086,-121.64144,1229.0,0.0,0.0,0.0
149,BAPB,NC,VCO,01,1.0,"2022/09/27,00:00:00","3000/01/01,00:00:00",36.18086,-121.64144,1229.0,0.0,0.0,0.0
150,BAPB,NC,VDT,01,1.0,"2022/09/27,00:00:00","3000/01/01,00:00:00",36.18086,-121.64144,1229.0,0.0,0.0,0.0
151,BAPB,NC,VEC,01,1.0,"2022/09/27,00:00:00","3000/01/01,00:00:00",36.18086,-121.64144,1229.0,0.0,0.0,0.0
152,BAPB,NC,VEI,01,1.0,"2022/09/27,00:00:00","3000/01/01,00:00:00",36.18086,-121.64144,1229.0,0.0,0.0,0.0
153,BAPB,NC,VPB,01,1.0,"2022/09/27,00:00:00","3000/01/01,00:00:00",36.18086,-121.64144,1229.0,0.0,0.0,0.0
154,BAV,NC,EHZ,--,100.0,"1984/01/01,00:00:00","1987/05/01,00:00:00",36.64595,-121.03015,572.0,0.0,-90.0,0.0
155,BAV,NC,EHZ,--,100.0,"1987/05/01,00:00:00","1990/03/23,21:35:00",36.64595,-121.03015,572.0,0.0,-90.0,0.0
156,BAV,NC,EHZ,--,100.0,"1990/03/23,21:35:00","1999/12/15,23:00:00",36.64595,-121.03015,572.0,0.0,-90.0,0.0
157,BAV,NC,EHZ,--,100.0,"1999/12/15,23:00:00","2004/01/16,01:06:00",36.64595,-121.03015,572.0,0.0,-90.0,0.0
158,BAV,NC,EHZ,--,100.0,"2004/01/16,01:06:00","2020/06/01,18:40:00",36.64595,-121.03015,572.0,0.0,-90.0,0.0
159,BAV,NC,ELE,--,100.0,"1984/01/01,00:00:00","1987/05/01,00:00:00",36.64595,-121.03015,572.0,0.0,0.0,90.0
160,BAV,NC,ELE,--,100.0,"1987/05/01,00:00:00","2011/02/18,21:28:00",36.64595,-121.03015,572.0,0.0,0.0,90.0
161,BAV,NC,ELN,--,100.0,"1984/01/01,00:00:00","1987/05/01,00:00:00",36.64595,-121.03015,572.0,0.0,0.0,0.0
162,BAV,NC,ELN,--,100.0,"1987/05/01,00:00:00","2011/02/18,21:28:00",36.64595,-121.03015,572.0,0.0,0.0,0.0
163,BAV,NC,ELZ,--,100.0,"1984/01/01,00:00:00","1987/05/01,00:00:00",36.64595,-121.03015,572.0,0.0,-90.0,0.0
164,BAV,NC,ELZ,--,100.0,"1987/05/01,00:00:00","1990/03/23,21:35:00",36.64595,-121.03015,572.0,0.0,-90.0,0.0
165,BAV,NC,ELZ,--,100.0,"1990/03/23,21:35:00","2011/02/18,21:28:00",36.64595,-121.03015,572.0,0.0,-90.0,0.0
166,BAV,NC,SHZ,--,20.0,"1994/11/28,00:00:00","1999/12/15,23:00:00",36.64595,-121.03015,572.0,0.0,-90.0,0.0
167,BAV,NC,SHZ,--,20.0,"1999/12/15,23:00:00","2004/01/16,01:06:00",36.64595,-121.03015,572.0,0.0,-90.0,0.0
168,BAV,NC,SHZ,--,20.0,"2004/01/16,01:06:00","2006/01/24,18:00:00",36.64595,-121.03015,572.0,0.0,-90.0,0.0
169,BAV,NC,SLE,--,20.0,"1994/11/28,00:00:00","2006/01/24,18:00:00",36.64595,-121.03015,572.0,0.0,0.0,90.0
170,BAV,NC,SLN,--,20.0,"1994/11/28,00:00:00","2006/01/24,18:00:00",36.64595,-121.03015,572.0,0.0,0.0,0.0
171,BAV,NC,SLZ,--,20.0,"1994/11/28,00:00:00","2006/01/24,18:00:00",36.64595,-121.03015,572.0,0.0,-90.0,0.0
172,BBG,NC,EHZ,--,100.0,"1984/01/01,00:00:00","1987/05/01,00:00:00",36.57796,-121.03918,1065.0,0.0,-90.0,0.0
173,BBG,NC,EHZ,--,100.0,"1987/05/01,00:00:00","1988/02/26,23:30:00",36.57796,-121.03918,1065.0,0.0,-90.0,0.0
174,BBG,NC,EHZ,--,100.0,"1988/02/26,23:30:00","2007/06/05,21:00:00",36.57796,-121.03918,1065.0,0.0,-90.0,0.0
175,BBG,NC,EHZ,--,100.0,"2007/06/05,21:00:00","2008/06/10,19:45:00",36.57796,-121.03918,1065.0,0.0,-90.0,0.0
176,BBG,NC,EHZ,--,100.0,"2008/06/10,19:45:00","2008/06/30,17:09:00",36.57796,-121.03918,1065.0,0.0,-90.0,0.0
177,BBG,NC,SHZ,--,20.0,"1994/11/28,00:00:00","2006/01/24,18:00:00",36.57796,-121.03918,1065.0,0.0,-90.0,0.0
178,BBGB,NC,HHE,--,100.0,"2008/06/27,20:52:00","2019/04/10,19:00:00",36.57848,-121.03957,1089.0,0.0,0.0,90.0
179,BBGB,NC,HHE,--,100.0,"2019/04/10,19:00:00","3000/01/01,00:00:00",36.57848,-121.03957,1089.0,0.0,0.0,90.0
180,BBGB,NC,HHN,--,100.0,"2008/06/27,20:52:00","2019/04/10,19:00:00",36.57848,-121.03957,1089.0,0.0,0.0,0.0
181,BBGB,NC,HHN,--,100.0,"2019/04/10,19:00:00","3000/01/01,00:00:00",36.57848,-121.03957,1089.0,0.0,0.0,0.0
182,BBGB,NC,HHZ,--,100.0,"2008/06/27,20:52:00","2019/04/10,19:00:00",36.57848,-121.03957,1089.0,0.0,-90.0,0.0
183,BBGB,NC,HHZ,--,100.0,"2019/04/10,19:00:00","3000/01/01,00:00:00",36.57848,-121.03957,1089.0,0.0,-90.0,0.0
184,BBGB,NC,HNE,--,100.0,"2008/06/27,20:52:00","2019/04/10,19:00:00",36.57848,-121.03957,1089.0,0.0,0.0,90.0
185,BBGB,NC,HNE,--,100.0,"2019/04/10,19:00:00","3000/01/01,00:00:00",36.57848,-121.03957,1089.0,0.0,0.0,90.0
